ID,Labels
198,PER-3-4 PER-6-7 PER-9-10 ORG-12-13 PER-17 PER-19-20 PER-22-23 PER-25-26 PER-28-29
199,
200,
201,PER-1-2 LOC-4 PER-7-8 LOC-10
202,PER-1-2 LOC-4 PER-7-8 LOC-10
203,PER-1-2 LOC-4 PER-7-8 LOC-10
204,PER-1-2 LOC-4 PER-7-8 LOC-10-11
205,
206,
207,ORG-1-2 LOC-4 ORG-8-9 PER-12
208,PER-1 LOC-3
209,PER-1-2 LOC-4 PER-8
210,LOC-2
211,PER-1-2 LOC-4 PER-8
212,PER-1 LOC-3
213,PER-1-2 LOC-4 PER-10
214,PER-1 LOC-3
215,LOC-3
216,LOC-3
217,LOC-1 LOC-7 LOC-19
218,PER-1 PER-3-4 LOC-8 ORG-12 PER-14-15 PER-19-20
219,LOC-1 LOC-8 LOC-13-14
220,
221,LOC-1 PER-3-4 PER-9-10 PER-12-13 PER-15-16 PER-18-19 PER-21-22 PER-24-25 PER-27-28 PER-30-31 PER-33-34 PER-36-37
222,LOC-1 PER-3-4 PER-6-7 PER-9-10 PER-12-13 PER-17-18 PER-23-24 PER-26-27 PER-29-30 PER-32-33
223,
224,LOC-1 PER-3
225,PER-1-2 PER-6-7 ORG-14-15 ORG-18-19
226,PER-1 PER-7-8 LOC-17
227,PER-5
228,PER-1 PER-14-15 LOC-21
229,PER-1
230,PER-1 MISC-9 PER-11-12
231,MISC-2
232,ORG-16 PER-18-19 LOC-30
233,
234,PER-1-2 MISC-25-26
235,PER-1-2
236,ORG-1-2 PER-4-5 LOC-8
237,LOC-1 ORG-6-7 MISC-10-11-12
238,LOC-1 ORG-5 LOC-8
239,LOC-2 PER-4-5 PER-14-15 ORG-25-26-27 ORG-30
240,LOC-1-2 LOC-14-15 PER-17-18 PER-20-21
241,PER-1
242,ORG-6
243,PER-1-2
244,ORG-1-2-3
245,LOC-2 PER-4-5 ORG-21-22 ORG-25-26
246,LOC-3
247,ORG-1 PER-3-4
248,PER-1-2 PER-8-9 ORG-13
249,ORG-2 ORG-7-8 MISC-11-12 ORG-17
250,LOC-2 PER-4-5 PER-20-21 ORG-33-34-35 ORG-43-44
251,PER-1 PER-3-4 PER-6-7
252,
253,PER-1-2 MISC-8 LOC-11
254,LOC-2 PER-4-5 PER-13 ORG-28 ORG-31-32-33
255,PER-1
256,ORG-1-2
257,
258,PER-4
259,LOC-2 PER-4-5-6 PER-16-17 ORG-27 ORG-30-31-32
260,PER-1-2
261,MISC-9
262,ORG-1-2
263,LOC-2 PER-4-5 PER-8-9 ORG-22 ORG-30-31
264,ORG-1
265,PER-1-2 ORG-19
266,PER-1-2 ORG-9-10 ORG-19
267,ORG-2 PER-14-15
268,LOC-3
269,LOC-1
270,ORG-1-2-3 ORG-19 LOC-21 MISC-31
271,ORG-1 ORG-12 ORG-19-20
272,ORG-11 LOC-30-31
273,LOC-1 LOC-6 LOC-9 ORG-13 ORG-30 ORG-34
274,ORG-1 PER-3-4 ORG-7 MISC-19 PER-21-22 ORG-25 MISC-27 MISC-29-30
275,
276,
277,
278,LOC-1
279,
280,MISC-1-2 MISC-5-6 PER-9-10
281,MISC-3
282,PER-2-3
283,PER-2-3
284,PER-2-3 LOC-5
285,PER-2-3
286,PER-2-3 LOC-5
287,PER-2 LOC-5
288,PER-2-3
289,PER-2-3 LOC-5
290,PER-2-3
291,PER-2-3
292,PER-2-3 LOC-5
293,PER-2-3 LOC-5-6
294,PER-2-3 LOC-5
295,PER-2-3 LOC-5
296,PER-2-3 LOC-5-6
297,PER-2-3-4 LOC-6
298,PER-2-3
299,PER-2-3-4 LOC-6
300,PER-2-3
301,PER-2-3
302,MISC-4
303,LOC-1
304,MISC-3 MISC-5
305,LOC-1
306,MISC-1-2-3
307,ORG-1
308,MISC-1-2 PER-4
309,PER-1 PER-3-4
310,PER-3
311,
312,
313,LOC-1
314,PER-3
315,PER-3-4
316,ORG-1 LOC-3
317,ORG-1
318,ORG-1 PER-3
319,MISC-1
320,LOC-1 PER-3
321,PER-1 PER-3 ORG-5
322,MISC-3
323,
324,MISC-8-9
325,
326,PER-3-4 MISC-12-13 MISC-15
327,ORG-3-4 PER-12-13 PER-20-21 PER-26-27
328,
329,LOC-5-6 MISC-8-9
330,
331,LOC-1 LOC-3-4 MISC-12-13 MISC-15
332,PER-3-4
333,
334,
335,LOC-1
336,LOC-2 PER-4-5 MISC-10 PER-23-24
337,ORG-1 PER-29-30 LOC-41
338,MISC-1 PER-3-4 PER-11 LOC-22 PER-24-25
339,MISC-3 LOC-6 ORG-13-14-15-16-17
340,LOC-2 PER-4-5
341,ORG-22-23-24 PER-33 PER-38 LOC-41 LOC-48
342,MISC-3-4
343,LOC-1
344,MISC-1
345,
346,
347,
348,ORG-1-2
349,ORG-1
350,ORG-1-2
351,ORG-1-2
352,
353,ORG-1
354,ORG-1
355,ORG-1
356,
357,ORG-1-2
358,
359,ORG-1
360,ORG-3
361,ORG-1
362,ORG-1
363,ORG-1
364,
365,LOC-1
366,ORG-1
367,ORG-1
368,ORG-1
369,
370,ORG-1
371,ORG-1
372,ORG-1
373,ORG-1
374,ORG-1
375,PER-1 ORG-3
376,ORG-1
377,ORG-1-2
378,ORG-1-2
379,ORG-1-2
380,MISC-3-4
381,LOC-1
382,MISC-1
383,
384,
385,
386,ORG-1
387,PER-1
388,LOC-1
389,
390,ORG-1
391,ORG-1-2-3
392,ORG-1
393,ORG-1
394,ORG-1
395,ORG-1
396,LOC-1
397,
398,ORG-1-2
399,ORG-1
400,
401,ORG-1
402,ORG-1
403,ORG-1-2
404,LOC-1-2
405,ORG-1
406,ORG-1-2
407,ORG-1
408,
409,ORG-1
410,
411,ORG-1
412,ORG-1
413,
414,PER-1
415,
416,
417,ORG-1
418,LOC-1
419,PER-1
420,ORG-1
421,ORG-1
422,ORG-1-2
423,
424,ORG-1
425,ORG-1
426,ORG-1
427,ORG-1-2
428,ORG-1-2
429,ORG-1
430,ORG-1
431,ORG-1
432,ORG-1
433,ORG-1
434,ORG-1
435,
436,ORG-1
437,ORG-1
438,
439,ORG-1
440,
441,ORG-1
442,ORG-1
443,ORG-1
444,
445,ORG-1
446,ORG-1
447,ORG-1
448,
449,ORG-1-2
450,ORG-1
451,
452,
453,ORG-1-2
454,ORG-1
455,ORG-1
456,ORG-1
457,
458,ORG-1
459,PER-1
460,MISC-3
461,
462,MISC-3
463,
464,
465,ORG-1-2 ORG-4
466,ORG-1 ORG-3-4
467,ORG-3
468,ORG-3-4 ORG-6 ORG-8-9
469,
470,
471,ORG-1 ORG-3
472,ORG-1 ORG-3-4-5
473,ORG-1 ORG-3
474,ORG-1 ORG-3
475,ORG-1 ORG-3
476,
477,ORG-3
478,ORG-1 ORG-3-4
479,ORG-1-2 ORG-4
480,ORG-1 ORG-3-4
481,PER-1 ORG-3 ORG-5
482,MISC-3
483,LOC-1
484,MISC-3
485,
486,
487,ORG-1 ORG-3
488,ORG-1 ORG-3
489,ORG-1 ORG-3-4
490,ORG-1 ORG-3
491,ORG-1 ORG-3
492,ORG-1-2 ORG-4
493,ORG-3
494,ORG-3
495,ORG-3 PER-5 ORG-7-8 PER-10
496,ORG-4-5-6 ORG-8
497,
498,ORG-1 ORG-3
499,ORG-1 ORG-3
500,ORG-1-2 ORG-4
501,ORG-3-4
502,ORG-1 ORG-3
503,ORG-1 ORG-3
504,ORG-1 ORG-3
505,ORG-3
506,ORG-1-2 ORG-4
507,ORG-1 ORG-3
508,ORG-3 PER-5
509,
510,ORG-1 ORG-3
511,ORG-1-2 ORG-4
512,ORG-3
513,ORG-3
514,ORG-1 ORG-3
515,ORG-1 ORG-3
516,ORG-1-2 ORG-4
517,ORG-1 ORG-3
518,ORG-3
519,ORG-3
520,ORG-1 ORG-3
521,MISC-3-4-5
522,LOC-1
523,MISC-7
524,LOC-2 ORG-4-5-6
525,ORG-1 ORG-6 PER-11-12 PER-15-16
526,ORG-1 ORG-5
527,ORG-4 PER-6
528,ORG-1 PER-6
529,ORG-1 PER-5
530,LOC-2 ORG-4-5-6
531,ORG-1 ORG-6 PER-12-13 PER-16 ORG-21
532,ORG-1 ORG-5
533,LOC-2-3 LOC-5 ORG-8-9-10
534,ORG-1 PER-6-7 PER-10-11 PER-15 PER-18-19 PER-22-23 PER-26-27 PER-30-31 PER-34-35
535,ORG-5
536,PER-2 LOC-4 ORG-7 PER-12-13 PER-16-17 PER-20-21 ORG-25
537,LOC-2 ORG-4 ORG-9
538,LOC-2-3 ORG-5 PER-10-11 PER-20-21 PER-24-25 PER-28-29
539,LOC-2 ORG-4 PER-9-10 ORG-14
540,
541,
542,
543,
544,
545,
546,PER-2-3 LOC-5 PER-8-9
547,
548,PER-2-3 LOC-5 PER-8-9-10
549,PER-2-3 LOC-5 PER-8-9
550,PER-2-3 LOC-5 PER-8-9
551,PER-2-3 LOC-5 PER-8-9
552,PER-2-3 LOC-5 PER-8-9
553,PER-2-3-4 LOC-6 PER-9-10
554,PER-2-3 LOC-5 PER-8-9
555,PER-2-3 LOC-5 PER-8-9-10
556,PER-2-3-4 LOC-6 PER-9-10
557,ORG-3-4-5 MISC-8-9
558,
559,LOC-1 PER-3 ORG-11 MISC-19-20
560,
561,LOC-1 PER-3 PER-11-12 PER-17-18
562,PER-3-4-5-6
563,
564,
565,PER-1-2
566,LOC-1
567,LOC-1-2 PER-29-30
568,LOC-11-12
569,LOC-13-14 MISC-30 MISC-34-35
570,ORG-1-2-3 PER-6 PER-23-24
571,PER-1-2-3
572,PER-13-14 PER-17-18
573,PER-12-13
574,MISC-1 PER-3-4 PER-18-19
575,
576,PER-6 PER-19-20 PER-25 PER-30 PER-32-33 MISC-35
577,LOC-4 MISC-9-10 PER-12-13
578,PER-1-2
579,LOC-5 PER-7 MISC-12-13 PER-27
580,
581,ORG-1-2-3 MISC-6 PER-16-17
582,LOC-1-2 PER-6-7 PER-11-12 PER-16-17 PER-19-20 PER-27-28-29 PER-33-34 PER-38-39 PER-43 PER-50-51 PER-58-59 PER-61-62 PER-69-70 PER-74-75 PER-77-78-79 PER-86-87 PER-91-92 PER-96-97 PER-101-102 PER-104-105
583,LOC-1-2 PER-6-7 LOC-9-10 PER-17-18 PER-22-23 PER-27-28 PER-32-33 PER-37-38 PER-42-43 PER-47-48 PER-52-53 PER-57-58 PER-60-61 PER-68-69 PER-73-74 PER-78-79 PER-83-84 PER-91-92
584,LOC-4-5
585,LOC-1
586,LOC-1-2 LOC-4-5 LOC-21-22
587,
588,LOC-1-2 ORG-6 PER-9 PER-14-15
589,ORG-3-4
590,PER-3 PER-8
591,LOC-1-2 PER-6-7 PER-9-10 PER-12-13
592,PER-3-4
593,ORG-3
594,LOC-1-2
595,ORG-3-4-5
596,ORG-1
597,LOC-1 MISC-30-31-32-33
598,LOC-3 PER-32-33-34
599,MISC-2-3 LOC-11
600,MISC-8-9-10
601,ORG-1
602,LOC-1 LOC-5 MISC-8-9-10
603,LOC-1
604,MISC-3-4
605,
606,MISC-3
607,
608,
609,ORG-1 PER-3 LOC-5
610,ORG-1 ORG-3 LOC-5
611,ORG-1 ORG-3 LOC-5
612,ORG-1 ORG-3
613,ORG-1 ORG-3-4
614,LOC-1 ORG-3
615,
616,
617,ORG-1-2
618,LOC-1
619,LOC-3
620,LOC-1
621,ORG-1
622,ORG-1
623,ORG-1
624,ORG-1
625,PER-1 LOC-3
626,
627,PER-1 LOC-3
628,ORG-1
629,
630,ORG-1 ORG-3 LOC-5
631,LOC-3 ORG-6-7
632,ORG-1 ORG-3-4
633,ORG-1 PER-3 LOC-5
634,LOC-1 ORG-3
635,PER-1 LOC-3 PER-6
636,
637,LOC-1
638,ORG-1-2
639,LOC-1
640,LOC-1
641,ORG-1-2
642,LOC-3
643,ORG-1
644,ORG-1
645,PER-1 LOC-3
646,PER-1 LOC-3
647,ORG-1
648,LOC-3
649,
650,ORG-1 PER-3
651,LOC-1 PER-5-6 PER-21-22 LOC-32
652,MISC-9 LOC-12 PER-14-15 LOC-17
653,LOC-1 ORG-19-20
654,LOC-1
655,LOC-1 PER-3 MISC-6-7
656,
657,
658,ORG-4-5
659,
660,
661,PER-1 LOC-3 PER-6 LOC-8
662,
663,PER-1 LOC-3 PER-6-7 LOC-9
664,
665,
666,ORG-4-5
667,
668,
669,PER-1 LOC-3 PER-6 LOC-8
670,
671,PER-1 LOC-3 PER-6-7 LOC-9
672,ORG-3 MISC-7-8
673,
674,LOC-1 LOC-3 MISC-11-12 MISC-14
675,
676,LOC-1 PER-3-4 PER-10-11 PER-16-17
677,
678,ORG-3-4-5-6 MISC-9-10
679,ORG-1
680,LOC-1 LOC-3 MISC-8-9 MISC-11
681,
682,LOC-3 MISC-7-8
683,
684,LOC-1 LOC-3 MISC-11-12 MISC-14
685,
686,PER-1-2
687,
688,ORG-3-4-5
689,
690,PER-1 LOC-3 PER-5 LOC-7 ORG-20-21
691,LOC-3
692,ORG-1
693,LOC-1 LOC-3 MISC-11
694,PER-3-4 PER-8-9
695,
696,LOC-3 MISC-7-8
697,
698,LOC-1 LOC-3 MISC-11-12 MISC-14
699,PER-3-4
700,
701,LOC-3
702,ORG-1
703,LOC-1 PER-3 MISC-11-12
704,PER-3-4 PER-10-11
705,
706,
707,LOC-1-2
708,PER-2-3-4 PER-6-7 MISC-21-22-23
709,PER-6
710,PER-5 PER-18 LOC-22
711,PER-22
712,
713,PER-13
714,MISC-2 PER-5
715,
716,
717,
718,PER-1
719,
720,
721,ORG-5-6-7
722,
723,PER-1 MISC-7-8-9 ORG-14-15-16
724,PER-12-13 LOC-15
725,MISC-11-12
726,PER-6
727,PER-5
728,
729,MISC-3-4-5
730,LOC-1-2
731,LOC-5-6-7 PER-19-20 LOC-22 PER-25-26 LOC-28 PER-36-37 LOC-39 PER-44-45 LOC-47
732,MISC-8-9-10
733,ORG-1 LOC-3
734,PER-1-2 LOC-4 ORG-27-28
735,PER-1
736,PER-8-9 PER-14-15-16-17-18 PER-24-25
737,PER-1-2
738,PER-17
739,PER-1-2
740,PER-15-16-17
741,
742,PER-2 MISC-18
743,
744,PER-15
745,
746,
747,
748,
749,PER-1
750,PER-13
751,
752,
753,
754,
755,
756,PER-1-2
757,PER-1-2 MISC-12-13-14-15 ORG-18-19
758,PER-1-2 MISC-11-12-13-14 ORG-31
759,ORG-6
760,LOC-3 LOC-5 MISC-12-13
761,PER-1-2
762,ORG-1-2
763,MISC-4-5 LOC-10 LOC-13-14 MISC-38-39
764,LOC-1 LOC-4 LOC-8 LOC-13
765,LOC-9 LOC-12-13 LOC-16 LOC-18
766,
767,LOC-1 MISC-11 LOC-29 LOC-34-35
768,MISC-28 LOC-31 PER-33-34-35
769,
770,LOC-2-3 LOC-5 LOC-7 LOC-19 LOC-22
771,LOC-4 MISC-7-8 PER-11-12 LOC-18
772,
773,LOC-4
774,PER-1 MISC-11-12 PER-14-15-16
775,PER-1 MISC-8-9
776,
777,PER-6 MISC-9 LOC-11 ORG-13 PER-15-16-17
778,LOC-18 PER-23-24-25 PER-27-28
779,
780,MISC-8-9
781,ORG-1-2
782,MISC-4-5-6-7 ORG-10-11-12
783,PER-9-10 LOC-12 PER-15-16 LOC-18 PER-24-25 LOC-27 PER-30-31 LOC-33 PER-37-38 LOC-40 PER-43-44 LOC-46-47
784,PER-9-10 LOC-12 PER-15-16 LOC-18
785,MISC-6-7
786,ORG-1-2
787,MISC-7-8 MISC-17-18
788,
789,LOC-1-2 LOC-4
790,LOC-1-2 LOC-4
791,LOC-1 LOC-3
792,LOC-1 LOC-3
793,
794,ORG-1-2-3
795,LOC-1 LOC-3
796,LOC-1 LOC-3-4
797,ORG-1 LOC-3-4
798,LOC-1 LOC-3-4
799,LOC-3
800,ORG-1-2
801,LOC-2-3 PER-5-6
802,
803,LOC-1 ORG-3-4 PER-15-16
804,ORG-1-2 PER-4-5
805,
806,MISC-3-4
807,ORG-1-2
808,MISC-1-2-3
809,
810,
811,MISC-1-2
812,MISC-1-2
813,
814,ORG-1-2
815,ORG-1
816,ORG-1
817,ORG-1
818,ORG-1
819,MISC-1-2
820,ORG-1
821,ORG-1
822,ORG-1
823,ORG-1
824,ORG-1-2
825,MISC-1-2
826,ORG-1
827,ORG-1
828,ORG-1
829,ORG-1
830,
831,ORG-1-2 LOC-4
832,ORG-1 LOC-3
833,ORG-1 LOC-3
834,ORG-1 LOC-3
835,ORG-1 LOC-3
836,ORG-1 LOC-3
837,ORG-1-2 LOC-4
838,MISC-1-2
839,MISC-1-2
840,
841,ORG-1
842,ORG-1
843,ORG-1
844,ORG-1-2
845,ORG-1
846,MISC-1-2
847,ORG-1
848,ORG-1-2
849,ORG-1
850,ORG-1
851,ORG-1
852,MISC-1-2
853,ORG-1-2
854,ORG-1-2
855,ORG-1
856,ORG-1-2
857,
858,ORG-1 LOC-3
859,LOC-3
860,ORG-1-2 LOC-4-5
861,ORG-1 LOC-3
862,ORG-1-2 LOC-4
863,ORG-1-2 LOC-4
864,ORG-1 LOC-3-4
865,MISC-3-4
866,ORG-1-2
867,MISC-3-4
868,LOC-10
869,MISC-1-2
870,ORG-1 ORG-3-4
871,ORG-1 ORG-3
872,ORG-1 ORG-3
873,ORG-1 ORG-3
874,LOC-1-2 ORG-4
875,ORG-1 ORG-3
876,ORG-1 ORG-3
877,MISC-1-2
878,ORG-1 ORG-3
879,LOC-1 ORG-3
880,ORG-1 ORG-3
881,ORG-1-2 ORG-4
882,ORG-1-2 ORG-4
883,ORG-1 ORG-3
884,LOC-1-2 ORG-4-5
885,ORG-1-2 PER-4
886,
887,ORG-1
888,MISC-1-2-3 PER-5-6 PER-11-12 MISC-14 ORG-22-23 ORG-26-27
889,PER-1 PER-6-7 MISC-13-14
890,
891,
892,PER-2 LOC-4 PER-6-7 PER-23
893,
894,
895,
896,PER-12-13
897,
898,PER-3-4 LOC-29 LOC-34 MISC-36
899,LOC-2 PER-4 PER-15-16 PER-21-22 ORG-26-27-28
900,ORG-1-2
901,PER-1-2
902,PER-1-2
903,
904,PER-1-2 LOC-8-9
905,LOC-2 ORG-5-6-7
906,PER-6-7 PER-17-18 LOC-23 PER-25-26
907,
908,PER-8-9 PER-22-23
909,PER-3-4 LOC-8
910,PER-1-2 LOC-9
911,LOC-2 PER-4-5 PER-13-14 ORG-25-26-27 ORG-30
912,
913,PER-7-8
914,
915,PER-1-2 ORG-5
916,ORG-1
917,LOC-2-3 PER-5-6 PER-14-15 ORG-27-28-29 ORG-32
918,PER-1 PER-19-20
919,PER-9-10
920,PER-1 PER-7-8 MISC-15 ORG-20-21
921,ORG-5 PER-25-26
922,PER-2-3 PER-5-6 MISC-12 PER-14-15 ORG-27-28
923,
924,ORG-1-2 PER-4
925,PER-1-2 LOC-12
926,PER-1-2
927,LOC-2 PER-4-5 MISC-12 PER-14-15 ORG-26-27
928,PER-6 MISC-9
929,PER-1
930,
931,PER-1-2
932,ORG-1-2
933,PER-9-10 MISC-19-20 PER-22-23
934,PER-3 MISC-8 MISC-22 ORG-42-43-44
935,
936,PER-7 MISC-18-19
937,PER-1 PER-3 PER-8-9 MISC-11-12
938,PER-13 PER-18
939,PER-11
940,
941,PER-1 MISC-12 PER-22
942,PER-28 MISC-32 PER-36-37
943,
944,
945,PER-1
946,ORG-1
947,PER-13
948,
949,PER-1
950,PER-11 PER-25 MISC-27 PER-29-30
951,
952,PER-10
953,
954,
955,
956,
957,
958,LOC-1 PER-3-4 LOC-13 PER-15-16
959,LOC-3 MISC-7-8
960,PER-1-2
961,ORG-1
962,LOC-1 MISC-4-5 LOC-10
963,LOC-1 LOC-5
964,LOC-1 PER-11-12 ORG-14-15 MISC-23
965,PER-19-20
966,ORG-1 PER-3-4 LOC-8 MISC-16 PER-18-19
967,LOC-2 PER-15-16 PER-18
968,MISC-8 PER-10-11
969,MISC-18
970,PER-2 PER-4-5
971,
972,
973,
974,MISC-1 PER-3-4
975,
976,LOC-1 PER-3-4 PER-6-7 PER-9-10 PER-12-13 PER-15-16 PER-18-19 PER-21-22 PER-24-25 PER-29-30 PER-32-33 PER-36-37 PER-41-42 PER-44-45
977,LOC-1 PER-3-4 PER-6-7 PER-9-10 PER-12-13 PER-15-16 PER-18-19 PER-21-22 PER-24 PER-27 PER-30-31 PER-35 PER-38-39
978,PER-3
979,
980,PER-1-2-3 LOC-18 PER-20-21
981,LOC-3 MISC-6-7
982,LOC-1
983,MISC-1-2 PER-4-5 PER-7-8 MISC-14-15 LOC-17 LOC-19
984,LOC-7 PER-13-14 MISC-17-18 ORG-35 PER-38-39
985,PER-1 MISC-15 PER-17-18 ORG-32
986,LOC-10 MISC-14
987,LOC-7 ORG-17 PER-19-20
988,PER-3 LOC-16 ORG-21-22-23 LOC-25 MISC-29 PER-42 ORG-44
989,LOC-1 PER-10 ORG-17-18 PER-34-35
990,LOC-1 LOC-8 MISC-13-14
991,
992,LOC-1 PER-5-6 PER-10-11 PER-15-16 PER-22-23 PER-27-28 PER-32-33 PER-39-40 PER-44-45 PER-49-50 PER-54-55 PER-59-60 PER-64-65 PER-71-72 ORG-76-77 PER-83-84 PER-88-89
993,LOC-1 PER-5-6 PER-10-11 PER-17-18 PER-22-23 PER-27-28 PER-36-37 PER-41 PER-47 PER-49 PER-53-54-55 PER-59-60 PER-66-67-68 PER-72-73 PER-77-78 PER-84-85 PER-89-90 PER-96-97 PER-101-102
994,ORG-3-4-5
995,LOC-1
996,LOC-1 LOC-3
997,PER-3-4 PER-10-11
998,
999,
1000,PER-1-2
1001,
1002,LOC-1 MISC-6-7 LOC-16 MISC-23
1003,MISC-1
1004,
1005,PER-11-12 MISC-15 MISC-26 PER-28-29-30
1006,PER-2 MISC-37 PER-39-40
1007,PER-1-2 LOC-8 PER-27-28
